"id","character","source","translatedstr"
"ConnectionNpc_1210_A_01_00_0019(0)","北江輝也","ルミナスについて、高木社長より
事前に資料をいただいていたのですが……","About Luminous, from Manager Takagi
I had received the materials in advance from ......"
"ConnectionNpc_1210_A_01_00_0020(0)","北江輝也","残念ながら、今の状態で僕のメニューを行った場合、
身体に強い負担がかかってしまう恐れがあります","Unfortunately, if you do my menu in its current state,
It may cause a strong strain on the body"
"ConnectionNpc_1210_A_01_00_0021(0)","P","え！？
ふ、負担ですか……","What?
Is it a burden? ......"
"ConnectionNpc_1210_A_01_00_0022(0)","北江輝也","はい。なので、今はあせることなく
基本となるレッスンを積み重ねてください","Yes, so don't panic now.
Please build on the basic lessons."
"ConnectionNpc_1210_A_01_00_0023(0)","北江輝也","今のルミナスにあわせた
目安となる課題を出しておきますね","Tailored to the current luminous
I'll give you a guideline assignment."
"ConnectionNpc_1210_A_01_00_0024(0)","P","助かります。
本日はありがとうございました！","It will be helpful.
Thank you very much for your time today!"
"ConnectionNpc_1210_A_01_00_0025(0)","P","（基本の積み重ねか……。北江さんのメニューを
行うには、もっと頑張らないといけないな……）","(Stack the basics or ....... Kitae's menu.
I'll have to work harder to do it. ......)"
"ConnectionNpc_1210_A_02_00_0001(0)","P","（メンバーの基礎体力はそれなりについたと思う。
そろそろ『伝説のレッスンメニュー』の話を……）","(I think the basic fitness of the members has been reasonably good.
It's time to talk about ""The Legendary Lesson Menu"" (......)"
"ConnectionNpc_1210_A_02_00_0002(0)","北江輝也","こんにちは、プロデューサーさん！
プロジェクトルミナス、活躍してるようですね","Hello, producer!
Project Luminous, you seem to be active."
"ConnectionNpc_1210_A_02_00_0003(0)","P","ご存知でしたか、ありがとうございます！","Did you know that, thank you!"
"ConnectionNpc_1210_A_02_00_0004(0)","北江輝也","もちろんですよ。それに、活動内容を拝見する限り、
どうやら基本の積み重ねは順調なようですね","Of course, and as far as the activities are concerned,
Looks like the basics are stacking up nicely."
"ConnectionNpc_1210_A_02_00_0005(0)","北江輝也","これなら、基礎体力も上がっていそうだ。
普段のレッスンにも、いい影響が出ているはずです！","This would seem to increase basic fitness.
It should have a positive impact on your regular lessons!"
"ConnectionNpc_1210_A_02_00_0006(0)","P","本当ですか？　よかったです。
それでは、さっそくレッスンメニューの相談を……","Really? That's good.
Let's get started and discuss the lesson menu at ......"
"ConnectionNpc_1210_A_02_00_0007(0)","北江輝也","……ただ、ＴＶで彼女たちを見た時、
まだ基礎を鍛えた方がいいな、と思いました","...... just when I saw them on TV,
I thought I should still work on the basics."
"ConnectionNpc_1210_A_02_00_0008(0)","P","え？　あの、それはつまり……？","What? Um, does that mean ......?"
"ConnectionNpc_1210_A_02_00_0009(0)","北江輝也","前にもお伝えしたように、僕が教えようとしている
レッスンメニューは、とてもハードなんです","As I have told you before, I am trying to teach
The lesson menu is very hard!"
"ConnectionNpc_1210_A_02_00_0010(0)","北江輝也","……残念ながら、彼女たちの現状では
まだまだレッスンに耐えることができない","...... Unfortunately, in their current state, the girls
I still can't stand the lessons."
"ConnectionNpc_1210_A_02_00_0011(0)","北江輝也","だが、しかし！　きっと彼女たちなら、
それに耐え得る肉体に仕上げられると信じている！","But, but! I'm sure they will,
I believe we can finish the body to be able to withstand it!"
"ConnectionNpc_1210_A_02_00_0012(0)","P","は、はぁ……","Ha, ha ......"
"ConnectionNpc_1210_A_02_00_0013(0)","北江輝也","だから！　この調子で引き続き頑張ってください！","So! Please continue to work hard at this rate!"
"ConnectionNpc_1210_A_02_00_0014(0)","P","わ、分かりました！
よろしくお願いします","Wow, I understand!
please remember me"
"ConnectionNpc_1210_A_02_00_0015(0)","P","（『伝説のレッスンメニュー』か……。
一体どんなものなんだ……？）","(""Legendary Lesson Menus"" or .......
What in the world is that ......?)"
"ConnectionNpc_1210_A_03_00_0001(0)","P","（レッスンを積み重ねることで、体力はついて
きた。『伝説のレッスンメニュー』の話を……）","(By accumulating lessons, the physical strength will increase and
(I've been. ""The Legendary Lesson Menu"" story at ......)"
"ConnectionNpc_1210_A_03_00_0002(0)","北江輝也","こんにちは！　プロデューサーさん！
ルミナスの活躍、僕も知ってますよ！","Hello, producers!
I know what Luminous is doing, too!"
"ConnectionNpc_1210_A_03_00_0003(0)","P","ありがとうございます！
では、伝説のレッスンメニューの相談を……","Thank you very much!
Let's discuss the legendary lesson menu at ......"
"ConnectionNpc_1210_A_03_00_0004(0)","北江輝也","まあまあ、そんなに急がないでください。
なにごとも、一歩一歩が大事なのですから","Well, well, well, don't be so hasty.
Because everything is important, one step at a time."
"ConnectionNpc_1210_A_03_00_0005(0)","P","は、はい……","Y-Yes..."
"ConnectionNpc_1210_A_03_00_0006(0)","北江輝也","これからは、ひとりひとりの
身体の状態を把握していることが重要です","From now on, each and every one of us
It is important to understand the condition of the body"
"ConnectionNpc_1210_A_03_00_0007(0)","P","なるほど。ルミナスの子たちの身体能力のデータ
でしたら最新のものを用意してありますよ","I see...data on the physical capabilities of the Luminous children.
If so, we have the latest one for you."
"ConnectionNpc_1210_A_03_00_0008(0)","北江輝也","それは、僕が知りたい全てではないと思います。
と言っても、分からないですよね","I don't think that is all I want to know.
but you never know."
"ConnectionNpc_1210_A_03_00_0009(0)","北江輝也","プロデューサーさん、
とりあえず、こちらに来てください","Producer,
In the meantime, please come this way."
"ConnectionNpc_1210_A_03_00_0010(0)","P","分かりました。
……このままで大丈夫ですか？","I understand.
...... Is it okay to keep this up?"
"ConnectionNpc_1210_A_03_00_0011(0)","北江輝也","大丈夫です。では、いきます。……例えば、
このストレッチひとつで見えてくるものがあります","That's okay, here we go: ......, for example,
This one stretch is what you will see"
"ConnectionNpc_1210_A_03_00_0012(0)","北江輝也","骨も筋肉も、体は全て繋がっています。
数字だけでは見えないものもあるんです！","Bones, muscles, and the body are all connected.
Some things can't be seen by numbers alone!"
"ConnectionNpc_1210_A_03_00_0013(0)","P","くっ……き、きつい……","Damn ...... tight, tight ......"
"ConnectionNpc_1210_A_03_00_0014(0)","北江輝也","うーん……思った以上に身体が硬いですね。
もう少し頑張れませんか？","Hmmm... ...... my body is stiffer than I thought.
Can't we try a little harder?"
"ConnectionNpc_1210_A_03_00_0015(0)","P","え？　ちょ、ちょっと……くっ！　
す、すみません……！　こ、これ以上は……","What? Hey, hey, hey, ......!
I'm sorry, I'm sorry ......! This is no more ......"
"ConnectionNpc_1210_A_03_00_0016(0)","P","はぁ……はぁ……","Hah ...... Hah ......"
"ConnectionNpc_1210_A_03_00_0017(0)","北江輝也","身体能力は、鍛えるだけでは伸びません。
いい状態を積み重ねながら伸びていくのです","Physical ability does not grow just by training.
It grows as it accumulates good conditions."
"ConnectionNpc_1210_A_03_00_0018(0)","北江輝也","僕のストレッチを教えましょう。
レッスンの積み重ね、頑張ってください","Let me tell you my stretch.
Keep up the good work, keep up the lessons!"
"ConnectionNpc_1210_A_03_00_0019(0)","北江輝也","今回も、課題を出しておきますね！","Again, I'll give you an assignment!"
"ConnectionNpc_1210_A_03_00_0020(0)","P","……あ、ありがとう……ございます……","...... Oh, thank you ...... thank you ...... thank you ......"
"ConnectionNpc_1210_A_03_00_0021(0)","P","（ま、まさか自分が体を動かすとは……。だけど、
これでみんなのレッスンの効率があがりそうだ……）","(Well, I never thought I would be moving my body. ......,
This is going to make everyone's lessons more efficient (......)"
"ConnectionNpc_1210_A_04_00_0001(0)","P","（北江さんに出されていた課題もクリアした。
それに、これならきっと……）","(She also completed the task that Kitae-san had given her.
Besides, I'm sure this would be ......)"
"ConnectionNpc_1210_A_04_00_0002(0)","北江輝也","ああ、お待ちしていました、プロデューサーさん。
いかがですかルミナスの子たちは？","Oh, we've been waiting for you, Producer-san.
How are the Luminous children?"
"ConnectionNpc_1210_A_04_00_0003(0)","P","こちら、ルミナスのメンバー全員の測定資料を
持ってきました。……身体能力の数値が伸びてます","Here are the measurement documents for all the members of Luminous.
I brought it to you. ...... The physical capacity numbers are growing."
"ConnectionNpc_1210_A_04_00_0004(0)","P","北江さんに教えていただいた、
ストレッチの効果が出てると思うんです！","Kitae-san told us,
I think the stretching is working!"
"ConnectionNpc_1210_A_04_00_0005(0)","北江輝也","どれどれ、ちょっと拝見……","Let's see, let's take a look: ......"
"ConnectionNpc_1210_A_04_00_0006(0)","北江輝也","うん、なかなかいいデータだ！
あなたの指導ぶりが良くわかります！","Yeah, it's pretty good data!
I can see how you are teaching!"
"ConnectionNpc_1210_A_04_00_0007(0)","P","ありがとうございます！","Thank you very much!"
"ConnectionNpc_1210_A_04_00_0008(0)","北江輝也","これなら、普段のレッスンへの効果も
さらに出てくると思いますよ！","This will have a positive effect on your regular lessons.
I'm sure you'll come up with more!"
"ConnectionNpc_1210_A_04_00_0009(0)","北江輝也","今は継続して、レッスンを積み重ねてください","Now continue and build on the lessons!"
"ConnectionNpc_1210_A_04_00_0010(0)","P","分かりました。
引き続き、よろしくお願いします！","I understand.
Thank you for your continued support!"
"ConnectionNpc_1210_A_04_00_0011(0)","北江輝也","ええ、こちらこそ！
最高のユニットにしていきましょう！","Yes, it's my pleasure!
Let's make it the best unit it can be!"
"ConnectionNpc_1210_A_04_00_0012(0)","P","（北江さんも認めてくれた。また一歩前進だ……）","(Kitae-san approved, another step forward. ......)"
"ConnectionNpc_1210_A_05_00_0001(0)","P","（みんなの基礎体力はかなりついたはずだ。
何としても『伝説のレッスンメニュー』を聞きたい）","(Everyone's basic fitness should have improved considerably.
(I'd love to hear ""The Legendary Lesson Menu"" at any cost)"
"ConnectionNpc_1210_A_05_00_0002(0)","北江輝也","こんにちは！　プロデューサーさん！
ルミナス、ますます活躍してますね！","Hello, producers!
Luminous, you are becoming more and more active!"
"ConnectionNpc_1210_A_05_00_0003(0)","P","ありがとうございます！
では、そろそろレッスンメニューの相談を……","Thank you very much!
Now it's time to discuss the lesson menu: ......"
"ConnectionNpc_1210_A_05_00_0004(0)","北江輝也","まあまあ、そんなに急がないでください。
なにごとも、一歩一歩が大事なのですから","Well, well, well, don't be so hasty.
Because everything is important, one step at a time."
"ConnectionNpc_1210_A_05_00_0005(0)","北江輝也","今日は、プロデューサーさん
向けのトレーニング方法を考えてきました！","Today, Producer-san.
We have been thinking about training methods for"
"ConnectionNpc_1210_A_05_00_0006(0)","P","え、俺の、ですか？
……あの、どうしてでしょうか？","Oh, my, is it?
...... Um, why is that?"
"ConnectionNpc_1210_A_05_00_0007(0)","北江輝也","まずは、プロデューサーであるあなたに
トレーニングの大切さを理解してもらいたいので！","First of all, you are the producer.
I want them to understand the importance of training!"
"ConnectionNpc_1210_A_05_00_0008(0)","北江輝也","アイドルのレッスンを見るのではなく、
体で知っていて欲しいのです","Instead of watching idol lessons,
I want you to know it with your body."
"ConnectionNpc_1210_A_05_00_0009(0)","北江輝也","習うより慣れろですよ！
さあ、こちらへどうぞ！","It's better to get used to it than to learn it!
Come on, this way, please!"
"ConnectionNpc_1210_A_05_00_0010(0)","北江輝也","はい、その体勢のまま、左足を上げて１５秒！
１、２、３、４……","Yes, keep that position and raise the left leg for 15 seconds!
1, 2, 3, 4......"
"ConnectionNpc_1210_A_05_00_0011(0)","P","５……６…………き、きつい……","5......6............ tight, tight......"
"ConnectionNpc_1210_A_05_00_0012(0)","北江輝也","はい、終了！　今日はここまで！
お疲れさまでした！！","Yes, done! That's all for today!
Thanks for your hard work!"
"ConnectionNpc_1210_A_05_00_0013(0)","北江輝也","どんなにいいといわれているトレーニングでも、
実施するかどうかは指導者の判断次第です","No matter how good the training is said to be,
It is up to the leadership to decide whether to implement it."
"ConnectionNpc_1210_A_05_00_0014(0)","北江輝也","ですから、何をしているのかを、
あなたが分かっているかどうかが、とても大切です","Therefore, what are you doing,
It is very important that you understand!"
"ConnectionNpc_1210_A_05_00_0015(0)","北江輝也","僕のトレーニングのヒントを教えましょう。
レッスンの積み重ね、頑張ってください","Let me give you my training tips.
Keep up the good work, keep up the lessons!"
"ConnectionNpc_1210_A_05_00_0016(0)","北江輝也","今回も、課題を出しておきますね！","Again, I'll give you an assignment!"
"ConnectionNpc_1210_A_05_00_0017(0)","P","はぁ……はぁ……わ、分かりました……。
あ、ありがとうございます……","Hah ...... Hah ...... Wow, okay .......
Oh, thank you ......"
"ConnectionNpc_1210_A_05_00_0018(0)","P","（効果がありそうなヒントがあったけど、
明日は全身筋肉痛だな……）","(There was a hint that it might work, though,
I'll have sore muscles all over tomorrow. ......)"
"ConnectionNpc_1210_A_06_00_0001(0)","P","（自分が実践したトレーニングのヒントを
アイドルたちのレッスンに取り入れたことで）","(Tips for training that I have practiced.
(by incorporating them into the lessons of their idols)."
"ConnectionNpc_1210_A_06_00_0002(0)","P","（みんなの成長がさらに感じられるようになった。
今日はその報告をしに、北江さんに会いに来ている）","(I could feel everyone's growth even more.
(I'm here today to report on this and to see Kitae-san)"
"ConnectionNpc_1210_A_06_00_0003(0)","北江輝也","こんにちは！　プロデューサーさん！
どうですか、ルミナスのみなさんの調子は？","Hello, producers!
How is everyone at Luminous doing?"
"ConnectionNpc_1210_A_06_00_0004(0)","P","教えていただいたトレーニングのヒント、
さっそく取り入れてみました","The training tips you gave us,
I immediately tried to incorporate it."
"ConnectionNpc_1210_A_06_00_0005(0)","P","そのおかげでしょうか。ひとりひとりの
ポテンシャルが底上げされたように思えます","Perhaps it is because of this that each and every one of us has been able to
Potential seems to have bottomed out."
"ConnectionNpc_1210_A_06_00_0006(0)","北江輝也","あ！　それは僕にとって最高に嬉しい言葉です！
先天的な部分の底上げってなかなか難しいんですよ！","Ah! That is the best word for me!
It's very difficult to raise the bottom of the inborn parts of the body!"
"ConnectionNpc_1210_A_06_00_0007(0)","北江輝也","でも、あまり無理はさせない形でお願いしますね。
身体を壊したんじゃ元も子もないですから","But please do so in a way that doesn't force me to do too much.
If you damage your body, it's not worth it."
"ConnectionNpc_1210_A_06_00_0008(0)","P","もちろんです！
無理をしないよう、しっかり心掛けています","Of course!
I try to be very careful not to overdo it."
"ConnectionNpc_1210_A_06_00_0009(0)","北江輝也","それは良かった。報告を聞いた限り、
みんなのレッスン効率も上がったように思えますね","That's good to hear, as far as the report goes,
It seems like everyone's lesson efficiency has improved."
"ConnectionNpc_1210_A_06_00_0010(0)","P","ありがとうございます！　それで、出来れば他の
トレーニングのヒントも教えていただきたいな、と","Thank you! So, if you can, I'd like to see the other
I would also like to get some training tips from you, and"
"ConnectionNpc_1210_A_06_00_0011(0)","北江輝也","ヒントですか……。あうかあわないかを判断するのは
プロデューサーさん次第です","Is it a hint? ....... It's a good idea to determine if it fits or not.
It's up to the producer."
"ConnectionNpc_1210_A_06_00_0012(0)","北江輝也","つまり、それだけの覚悟はできてる、と？","So you're saying you're prepared to do just that?"
"ConnectionNpc_1210_A_06_00_0013(0)","P","か、覚悟ですか……。
はい！　大丈夫です！！","Or are you prepared? .......
Yes, I'm fine!"
"ConnectionNpc_1210_A_06_00_0014(0)","北江輝也","では、行きますよ！","Then, let's go!"
"ConnectionNpc_1210_A_06_00_0015(0)","","ベキベキベキッ！　ミシミシミシッ！",""
"ConnectionNpc_1210_A_06_00_0016(0)","P","い、イタタタ……。き、北江さん、
ちょっと止めて……止めてくださいっ！","Ita ita ita ....... Ki, Kitae-san,
Stop it for a second. ...... stop it!"
"ConnectionNpc_1210_A_06_00_0017(0)","北江輝也","まだまだ、これからですよ！
もう少し、負荷かけますからね！","We are just getting started!
I'll put a little more load on it!"
"ConnectionNpc_1210_A_06_00_0018(0)","P","ちょっと待って……う、うわぁぁぁ……！！","Wait a minute ...... Ugh, wow ......!"
"ConnectionNpc_1210_A_06_00_0019(0)","P","（新たなトレーニングのヒントは伝授されたけど……
その代償は大きかったように思う。いてて……）","(New training tips were imparted, but ......
I think the cost was too great. ......)"
"ConnectionNpc_1210_A_07_00_0001(0)","P","（さて、もうそろそろ『伝説のレッスンメニュー』
について、話を聞かせてもらおう……）","(Well, it's almost time for the ""Legendary Lesson Menu"".
(Let's talk about ......)"
"ConnectionNpc_1210_A_07_00_0002(0)","北江輝也","お疲れ様です！　ルミナスの活躍、見てますよ！","Thanks for your hard work, I see Luminous is doing a great job!"
"ConnectionNpc_1210_A_07_00_0003(0)","P","ありがとうございます！
みんな、楽しんでやっています","Thank you very much!
Everyone is having a great time doing it!"
"ConnectionNpc_1210_A_07_00_0004(0)","P","俺も北江さんのヒントがどんどん分かってきて、
次は『伝説のレッスンメニュー』じゃないかと！","I'm starting to understand more and more of Kitae-san's hints too,
I thought ""Legendary Lesson Menu"" was next!"
"ConnectionNpc_1210_A_07_00_0005(0)","北江輝也","なるほど……。
じゃあ、今日もトレーニングやってみましょうか？","I see. .......
Well, let's do some training today, shall we?"
"ConnectionNpc_1210_A_07_00_0006(0)","P","い、いや、俺のトレーニングはいいので……","No, no, my training is good. ......"
"ConnectionNpc_1210_A_07_00_0007(0)","北江輝也","さあさあ、遠慮はいりません！
どうぞこちらへ！","Come on, come on, don't be shy!
Please come this way!"
"ConnectionNpc_1210_A_07_00_0008(0)","P","ちょっ、ちょっと……","Hey, hey, hey. ......"
"ConnectionNpc_1210_A_07_00_0009(0)","P","（北江さんに強引に連行された俺は、
前回のトレーニングと同じメニューを消化した）","(I was forcibly taken in by Kitae-san,
(We went through the same menu as our last training session.)"
"ConnectionNpc_1210_A_07_00_0010(0)","P","ん……。この体の重さは……
この前と何か違うような……","You can see the weight of this body at ......
Something different from the last time I was here: ......"
"ConnectionNpc_1210_A_07_00_0011(0)","北江輝也","そうですよね。予想通りです！","Yes, as expected!"
"ConnectionNpc_1210_A_07_00_0012(0)","P","え？　ど、どういう意味でしょうか？","What do you mean?"
"ConnectionNpc_1210_A_07_00_0013(0)","北江輝也","上手くいっていると思っている時ほど、
知らぬまに無茶をしてたりするんです。その結果……","The more you think things are going well,
Sometimes we do things recklessly without realizing it, and the result is ......"
"ConnectionNpc_1210_A_07_00_0014(0)","北江輝也","プロデューサーさんは、自身の状態を把握できて
なかった。だから、必要以上に疲れたんですよ！","Producers are able to understand their own condition and
So I was more tired than I needed to be!"
"ConnectionNpc_1210_A_07_00_0015(0)","P","そんなことじゃ、
みんなまで、無茶させてしまうかもしれない……","That's not what I meant,
It might even make everyone else reckless. ......"
"ConnectionNpc_1210_A_07_00_0016(0)","北江輝也","そうですね。こんな時こそ、急がないでください。
なにごとも、一歩一歩が大事なのです","Yes, this is the time to not be in a hurry.
Everything is important, one step at a time."
"ConnectionNpc_1210_A_07_00_0017(0)","北江輝也","冷静に自身と向き合い、
しっかりとアイドルの体調に気を配っていく……","Face yourself calmly,
Make sure you take care of your idol's health: ......"
"ConnectionNpc_1210_A_07_00_0018(0)","北江輝也","その辺りを意識してきちんと指導してあげれば、
みなさんもっと成長すると思いますよ！","If you are aware of that and give them proper guidance,
I think you all will grow more!"
"ConnectionNpc_1210_A_07_00_0019(0)","P","……北江さん。
あの、ありがとうございました！","...... Kitae.
Um, thank you very much!"
"ConnectionNpc_1210_A_07_00_0020(0)","北江輝也","良かった。それと、あなたのトレーニング状況を
まとめたノートを渡しておきます","Good, and I'd like to know how your training is going.
I'll give you the notes I put together."
"ConnectionNpc_1210_A_07_00_0021(0)","北江輝也","また、課題を出しておきます。
日々の積み重ね、頑張ってください！","I will also give you an assignment.
Keep up the good work, day by day!"
"ConnectionNpc_1210_A_07_00_0022(0)","P","（今日は、改めて大切なことを学べた……）","(I learned something important again today: ......)"
"ConnectionNpc_1210_A_07_00_0023(0)","P","（これからは、ひとりひとりの体調も管理しつつ、
レッスンを指導していかないと！）","(From now on, we will also take care of each person's physical condition,
I need to teach a lesson!)"
"ConnectionNpc_1210_A_08_00_0001(0)","P","（アイドルの体調をより意識したレッスンが
功を奏し、アイドルたちはさらに成長した……）","(Lessons that are more aware of the idol's physical condition are
(It worked, and the idols grew even more: ......)"
"ConnectionNpc_1210_A_08_00_0002(0)","北江輝也","やあ、プロデューサーさん！
どうですか、その後は？","Hey there, producer!
How about you, then?"
"ConnectionNpc_1210_A_08_00_0003(0)","P","はい！　最近は、前以上にアイドルたちの調子を
見つつ、指導するよう心掛けています","Yes! Recently, the idols have been in better shape than before.
I try to guide them as I see fit."
"ConnectionNpc_1210_A_08_00_0004(0)","北江輝也","いいですね！　無理させると、
かえって効率が悪くなったりしますからね","That's good! If you force them,
In fact, it can be inefficient."
"ConnectionNpc_1210_A_08_00_0005(0)","北江輝也","ちゃんと効果が出てるって事は、
指導がうまくいっているって事ですよ","That it's working properly,
It means the guidance is working."
"ConnectionNpc_1210_A_08_00_0006(0)","北江輝也","さらにレッスンの効果は上がっているはず！
僕が保証します！！","Furthermore, the lessons should be more effective!
I guarantee it!"
"ConnectionNpc_1210_A_08_00_0007(0)","P","これも、北江さんのおかげです。
ありがとうございます！","This is also thanks to Kitae-san.
Thank you very much!"
"ConnectionNpc_1210_A_08_00_0008(0)","P","それでは、今日はこの辺で失礼……","Well, I'll leave you to it today: ......"
"ConnectionNpc_1210_A_08_00_0009(0)","","ガシッ！","Cushion!"
"ConnectionNpc_1210_A_08_00_0010(0)","P","……あ、あの、北江さん？
肩を鷲掴みなんかして、どうしたんですか……","...... Oh, um, Kitae-san?
What's wrong with you, grabbing me by the shoulders? ......"
"ConnectionNpc_1210_A_08_00_0011(0)","北江輝也","ルミナスは基礎体力も上がってきている。
なにより……プロデューサーさん……！","Luminous is also improving in basic fitness.
Above all, ...... producer ......!"
"ConnectionNpc_1210_A_08_00_0012(0)","P","え、あ、あの……ちょっと……！？","Oh, uh, that ...... hey ......!"
"ConnectionNpc_1210_A_08_00_0013(0)","北江輝也","よくここまで、積み重ねてきました。
少しは僕も役にたったようです","I am amazed that we have been able to accumulate so much.
I guess I helped a little too."
"ConnectionNpc_1210_A_08_00_0014(0)","北江輝也","トレーニングのヒントの追加をお伝えします。
『伝説のレッスンメニュー』も、もうすぐでしょう！","Additional training tips will be provided.
The ""Legendary Lesson Menu"" will be coming soon!"
"ConnectionNpc_1210_A_08_00_0015(0)","","ガシッ！","Cushion!"
"ConnectionNpc_1210_A_08_00_0016(0)","P","（これが……声にならない声ってヤツか……）","(Is this what you call ...... the unvoiced voice? ......)"
"ConnectionNpc_1210_A_08_00_0017(0)","P","あ、ありが……とう……ござい……ました……","Oh, thanks ...... and thank you ...... for ......"
"ConnectionNpc_1210_A_08_00_0018(0)","P","（新たなトレーニングのヒントがもらえた……。
鷲掴みしてきた力、いつも以上に強かったな……）","(I got some new training tips from .......
(The force that grabbed you by the eagle, was even stronger than usual. ......)"
"ConnectionNpc_1210_A_09_00_0001(0)","P","（今日こそは、『伝説のレッスンメニュー』の
内容を教えてもらうぞ！）","(Today is the day for the ""Legendary Lesson Menu"".
(We'll let you know what it's all about!)"
"ConnectionNpc_1210_A_09_00_0002(0)","北江輝也","お待たせしました、プロデューサーさん！
どうぞ、こちらへ！","Sorry to keep you waiting, producer!
Please, come this way!"
"ConnectionNpc_1210_A_09_00_0003(0)","P","体調はバッチリです！　それで、今日は
どんなことを体験させてもらえるんでしょうか？　","I'm feeling perfect! So, today.
What will I get to experience?"
"ConnectionNpc_1210_A_09_00_0004(0)","北江輝也","最近、ルミナスのみなさんの調子はどうですか？
レッスンの様子なども、お聞かせください！","How is everyone at Luminous doing these days?
Please let us know how the lessons are going!"
"ConnectionNpc_1210_A_09_00_0005(0)","P","そうですね……。アイドルひとりひとりの
調子をしっかり見るようにしています","Yes, ....... Each and every idol.
I try to keep a close eye on my condition."
"ConnectionNpc_1210_A_09_00_0006(0)","P","レッスンはその日のコンディション、声の調子や
体の動きのキレなどを意識して取り組んでいます","The lesson is based on the condition of the day, the tone of the voice and the
I am working on the sharpness of body movements, etc."
"ConnectionNpc_1210_A_09_00_0007(0)","P","ああ、こちらが日々の状況をまとめたノートです","Oh, here's a notebook that summarizes the daily status"
"ConnectionNpc_1210_A_09_00_0008(0)","北江輝也","ちょっと拝見しますね。どれどれ？
……………なるほど","Let me take a look.
............... I see."
"ConnectionNpc_1210_A_09_00_0009(0)","P","あの、それで今日はどんなトレーニング方法を
教えていただけるのでしょうか？","Um, so what kind of training methods do you use today?
Can you tell us about it?"
"ConnectionNpc_1210_A_09_00_0010(0)","北江輝也","……いえ、
今日はこのノートを見せてもらうだけで充分です！","...... No,
It is enough for me to show you this note today!"
